Label,Description
Lion,Lion - A large carnivorous mammal known for its distinctive mane and roar. Lions are social animals that live in prides.
Elephant,Elephant - A massive herbivorous mammal with a long trunk and tusks. Elephants are intelligent and social animals that live in herds.
Giraffe,"Giraffe - A tall, long-necked herbivorous mammal with a distinctive spotted pattern. Giraffes are the tallest animals on land."
Tiger,Tiger - A large carnivorous mammal with distinctive stripes. Tigers are solitary animals and are known for their strength and agility.
Bear,Bear - A large omnivorous mammal with shaggy fur and a powerful build. Bears hibernate during the winter and are known for their strength.
Monkey,Monkey - A small to medium-sized primate known for their intelligence and agility. Monkeys are social animals and live in troops.
Gorilla,Gorilla - A large herbivorous primate known for their strength and intelligence. Gorillas are social animals that live in groups.
Zebra,Zebra - A medium-sized herbivorous mammal with a distinctive black and white striped coat. Zebras are social animals that live in herds.
Hippopotamus,Hippopotamus - A large herbivorous mammal with a bulky body and short legs. Hippos spend most of their time in water.
Cheetah,Cheetah - A large carnivorous mammal known for its speed and agility. Cheetahs are solitary animals and are one of the fastest animals on land.
Rhino,Rhino - A large herbivorous mammal with a distinctive horn on its nose. Rhinos are endangered due to habitat loss and poaching.
Kangaroo,Kangaroo - A herbivorous mammal known for their powerful hind legs and ability to jump. Kangaroos are native to Australia.
Crocodile,Crocodile - A large reptile with a long snout and sharp teeth. Crocodiles are known for their strength and are apex predators.
Snake,"Snake - A reptile with a long, flexible body and no legs. Snakes are carnivorous and use their venom to hunt."
Dolphin,Dolphin - A highly intelligent aquatic mammal known for their playful behavior. Dolphins are social animals that live in pods.
Whale,Whale - A large aquatic mammal that is known for their size and their song. Whales are social animals and some species are endangered.
Shark,Shark - A carnivorous fish with sharp teeth and a streamlined body. Sharks are apex predators and are essential to ocean ecosystems.
Octopus,"Octopus - A soft-bodied, eight-armed mollusk that is known for their intelligence and camouflage abilities."
Penguin,Penguin - A flightless bird with a distinctive tuxedo-like appearance. Penguins are adapted to living in cold environments.
Koala,Koala - A herbivorous marsupial native to Australia. Koalas are known for their cuddly appearance and their habit of sleeping in trees.
Platypus,"Platypus - A semi-aquatic mammal with a bill like a duck and a tail like a beaver. Platypuses are native to Australia and are monotremes, meaning they lay eggs instead of giving birth to live young."
Kangaroo,Kangaroo - A herbivorous mammal known for their powerful hind legs and ability to jump. Kangaroos are native to Australia.
Chimpanzee,Chimpanzee - A highly intelligent primate that is closely related to humans. Chimpanzees are social animals and are capable of using tools.
Panda,Panda - A herbivorous bear native to China. Pandas are endangered and are known for their distinctive black and white fur.
Wolf,Wolf - A carnivorous mammal known for their pack mentality and distinctive howl. Wolves are apex predators and are important to their ecosystems.
Fox,Fox - A carnivorous mammal known for their agility and intelligence. Foxes are adaptable and can be found in many different environments.
Deer,Deer - A herbivorous mammal known for their antlers and graceful movements. Deer are prey animals and are important to their ecosystems.
Moose,"Moose - A large herbivorous mammal with a distinctive broad, flat antler. Moose are found in northern regions and are important to their ecosystems."
Beaver,Beaver - A semi-aquatic mammal known for building dams and lodges. Beavers are important to their ecosystems and are considered a keystone species.
Otter,Otter - A semi-aquatic mammal known for their playful behavior and webbed feet. Otters are important to their ecosystems and are considered an indicator species of water quality.
